timestamp,level,currency,divisor
2019-09-05,1333.8553976025648,USD,1.0
2019-09-06,1330.2508761809695,USD,1.0
2019-09-09,1331.4174202650665,USD,1.0
2019-09-10,1330.853458482923,USD,1.0
2019-09-11,1336.7625831817943,USD,1.0
2019-09-12,1339.7602163299034,USD,1.0
2019-09-13,1340.0355727397073,USD,1.0
2019-09-16,1337.6824265823552,USD,1.0
2019-09-17,1340.5861670834854,USD,1.0
2019-09-18,1341.355128224149,USD,1.0
2019-09-19,1341.7660985313312,USD,1.0
2019-09-20,1337.7025491100203,USD,1.0
2019-09-23,1336.1523248274816,USD,1.0
2019-09-24,1330.5465580815794,USD,1.0
2019-09-25,1335.885362742708,USD,1.0
2019-09-26,1334.1415718145004,USD,1.0
2019-09-27,1329.6427087105758,USD,1.0
2019-09-30,1331.994545904698,USD,1.0
2019-10-01,1323.5425153618694,USD,1.0
2019-10-02,1309.9578556326069,USD,1.0
2019-10-03,1315.2235520630725,USD,1.0
2019-10-04,1325.9253424588296,USD,1.0
2019-10-07,1323.279134752208,USD,1.0
2019-10-08,1312.4505502117868,USD,1.0
2019-10-09,1319.3308758294766,USD,1.0
2019-10-10,1322.8890174188286,USD,1.0
2019-10-11,1330.1204720504288,USD,1.0
2019-10-14,1330.2834989632956,USD,1.0
2019-10-15,1336.1327298142824,USD,1.0
2019-10-16,1336.693470462395,USD,1.0
2019-10-17,1340.0987191418894,USD,1.0
2019-10-18,1337.2321514302098,USD,1.0
2019-10-21,1342.5873355132114,USD,1.0
2019-10-22,1340.8281423569917,USD,1.0
2019-10-23,1343.0241927786617,USD,1.0
2019-10-24,1345.818587410609,USD,1.0
2019-10-25,1348.1960094942833,USD,1.0
2019-10-28,1352.0067549336532,USD,1.0
2019-10-29,1352.4446584196946,USD,1.0
2019-10-30,1353.4592103444813,USD,1.0
2019-10-31,1355.2912424395324,USD,1.0
2019-11-01,1357.4996974269966,USD,1.0
2019-11-04,1361.52955403444,USD,1.0
2019-11-05,1361.2497664266618,USD,1.0
2019-11-06,1361.7267081011976,USD,1.0
2019-11-07,1365.16790504127,USD,1.0
2019-11-08,1368.3600409670764,USD,1.0
2019-11-11,1366.1722998293158,USD,1.0
2019-11-12,1368.7282057289772,USD,1.0
2019-11-13,1369.2067890307774,USD,1.0
2019-11-14,1371.3209480983305,USD,1.0
2019-11-15,1379.4459177272815,USD,1.0
2019-11-18,1380.131475350678,USD,1.0
2019-11-19,1380.5080315498572,USD,1.0
2019-11-20,1376.455335724774,USD,1.0
2019-11-21,1375.088551291301,USD,1.0
2019-11-22,1377.029926350323,USD,1.0
2019-11-25,1385.3547873811972,USD,1.0
2019-11-26,1387.445848784208,USD,1.0
2019-11-27,1393.3910808257542,USD,1.0
2019-11-29,1389.2987886487235,USD,1.0
2019-12-02,1381.1089179968692,USD,1.0
2019-12-03,1374.3862781892574,USD,1.0
2019-12-04,1380.5235445957342,USD,1.0
2019-12-05,1382.303425775717,USD,1.0
2019-12-06,1392.4515533730212,USD,1.0
2019-12-09,1389.6885810940812,USD,1.0
2019-12-10,1387.7163450428013,USD,1.0
2019-12-11,1390.6979696290987,USD,1.0
2019-12-12,1400.2803216195443,USD,1.0
2019-12-13,1399.973239775305,USD,1.0
2019-12-16,1407.0629539418762,USD,1.0
2019-12-17,1408.302090431707,USD,1.0
2019-12-18,1408.336356680647,USD,1.0
2019-12-19,1413.5360271195436,USD,1.0
2019-12-20,1418.9136207993974,USD,1.0
2019-12-23,1421.3954461463502,USD,1.0
2019-12-24,1421.602148139589,USD,1.0
2019-12-26,1427.1645513792482,USD,1.0
2019-12-27,1428.7088794408346,USD,1.0
2019-12-30,1423.2812570222627,USD,1.0
2019-12-31,1424.3494547485918,USD,1.0
2020-01-02,1434.1776289862519,USD,1.0
2020-01-03,1427.299485395048,USD,1.0
2020-01-06,1431.6954507141272,USD,1.0
2020-01-07,1427.9698908905896,USD,1.0
2020-01-08,1432.6977937827235,USD,1.0
2020-01-09,1440.485413148643,USD,1.0
2020-01-10,1437.2052920968454,USD,1.0
2020-01-13,1443.816789547829,USD,1.0
2020-01-14,1441.6431524196246,USD,1.0
2020-01-15,1444.3461136446017,USD,1.0
2020-01-16,1452.2938455042654,USD,1.0
2020-01-17,1455.5452573039647,USD,1.0
2020-01-21,1454.7061141696636,USD,1.0
2020-01-22,1455.905879312215,USD,1.0
2020-01-23,1457.1132238484488,USD,1.0
2020-01-24,1449.7922406461253,USD,1.0
2020-01-27,1434.6174347276199,USD,1.0
2020-01-28,1444.2660862257871,USD,1.0
2020-01-29,1443.7442554296472,USD,1.0
2020-01-30,1445.79381351585,USD,1.0
2020-01-31,1427.2971490742323,USD,1.0
2020-02-03,1435.7179489210994,USD,1.0
2020-02-04,1451.670697094274,USD,1.0
2020-02-05,1464.6142325978815,USD,1.0
2020-02-06,1468.9573183817938,USD,1.0
2020-02-07,1464.4948392084139,USD,1.0
2020-02-10,1472.1358565156422,USD,1.0
2020-02-11,1473.9547302548526,USD,1.0
2020-02-12,1479.6766623449073,USD,1.0
2020-02-13,1479.0695060730793,USD,1.0
2020-02-14,1481.6056264052722,USD,1.0
2020-02-18,1481.560993823959,USD,1.0
2020-02-19,1486.5703191482758,USD,1.0
